"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","18-Feb-2019","        467.50","        468.90","        477.00","        464.40","        465.60","        465.55","        471.17","    6253514","          2946442373.25","      77788","     451776","          7.22"
"TATASTEEL","EQ","19-Feb-2019","        465.55","        465.40","        480.60","        465.40","        469.95","        470.95","        472.77","    8224545","          3888335059.30","     104247","    1351835","         16.44"
"TATASTEEL","EQ","20-Feb-2019","        470.95","        472.50","        493.85","        472.50","        493.70","        491.15","        486.20","   15487251","          7529873006.65","     166170","    3221272","         20.80"
"TATASTEEL","EQ","21-Feb-2019","        491.15","        492.55","        502.90","        490.35","        497.85","        498.85","        497.47","   11782714","          5861544729.35","     142866","    1757913","         14.92"
"TATASTEEL","EQ","22-Feb-2019","        498.85","        497.00","        504.00","        492.10","        502.00","        502.30","        498.74","   10005723","          4990238088.90","     104520","    1239870","         12.39"
"TATASTEEL","EQ","25-Feb-2019","        502.30","        504.00","        509.50","        498.25","        504.00","        505.10","        503.95","   10357604","          5219729441.65","     118263","    2019970","         19.50"
"TATASTEEL","EQ","26-Feb-2019","        505.10","        498.00","        508.60","        491.70","        504.00","        503.60","        501.07","    9856299","          4938691662.60","     116684","    2288363","         23.22"
"TATASTEEL","EQ","27-Feb-2019","        503.60","        507.00","        512.30","        497.95","        506.50","        507.10","        506.11","    9444346","          4779884389.60","     115380","    2327647","         24.65"
"TATASTEEL","EQ","28-Feb-2019","        507.10","        506.60","        511.00","        498.30","        499.50","        500.45","        505.61","    7485418","          3784668424.00","     106395","    1779421","         23.77"
"TATASTEEL","EQ","01-Mar-2019","        500.45","        503.50","        509.70","        502.00","        507.60","        507.60","        506.61","    6672569","          3380392882.00","      76965","    1879267","         28.16"
"TATASTEEL","EQ","05-Mar-2019","        507.60","        508.40","        522.90","        505.20","        520.20","        521.75","        516.70","    9118037","          4711295937.15","     145373","    3236261","         35.49"
"TATASTEEL","EQ","06-Mar-2019","        521.75","        522.90","        525.35","        515.45","        519.30","        520.85","        520.32","    6311227","          3283846067.60","      80775","    1545004","         24.48"
"TATASTEEL","EQ","07-Mar-2019","        520.85","        519.85","        523.20","        513.55","        521.50","        521.15","        519.23","    6153631","          3195129310.35","      95637","     976241","         15.86"
"TATASTEEL","EQ","08-Mar-2019","        521.15","        516.80","        518.60","        506.30","        508.20","        507.85","        512.27","    6504847","          3332249496.15","      72160","    1503417","         23.11"
